,correlations,importance
PKDMainClassName_Cold drawing of bars,-0.0014246816831579823,0.0
PKDMainClassName_Cold rolling of narrow strip,0.0006477069481307799,0.0
PKDMainClassName_Collection of hazardous waste,0.0012738483113631269,0.005223173942789655
PKDMainClassName_Collection of non-hazardous waste,0.0011900616913782477,0.029474311818008175
PKDMainClassName_Cultural education,0.0037528359111678295,0.0017115465809927023
PKDMainClassName_Cutting,0.00040367820191174094,0.0004532432036173313
PKDMainClassName_Data processing,0.0012988846478809576,0.0026997861708956275
PKDMainClassName_Demolition,-0.018207929130516914,0.008520862443178524
PKDMainClassName_Dental practice activities,0.07209429830158913,3.2315951960499842
PKDMainClassName_Dismantling of wrecks,0.00014423570990444517,0.004659163414523291
PKDMainClassName_Dispensing chemist in specialised stores,0.008894391207892587,0.001880902108987023
PKDMainClassName_Driving school activities,0.001554247210421233,0.04302608154329746
PKDMainClassName_Działalność pomocnicza związana z utrzymaniem porządku w budynkach,-0.007640135174481514,5.326256950838201e-05
PKDMainClassName_Działalność szpitali,0.008738254036976128,0.009716010447706149
PKDMainClassName_Educational support activities,0.008300318595294754,0.006929567225048983
PKDMainClassName_Electrical installation,0.014201926446371166,0.00814436078714683
PKDMainClassName_Engineering activities and related technical consultancy,0.05746744142310807,0.33302795752654746
PKDMainClassName_Event catering activities,-0.008853785469780454,0.004327585558313638
PKDMainClassName_Financial leasing,-0.005807695226549551,4.290140918188862e-05
PKDMainClassName_Finishing of textiles,-0.0006790485782476637,0.007712221324025384
PKDMainClassName_Fire service activities,0.004278358981329662,0.0
PKDMainClassName_Floor and wall covering,-0.020266611458307514,0.00979205217170592
PKDMainClassName_Forging,-0.0013046111051156614,3.873456482824161e-05
PKDMainClassName_Freight air transport,0.002533337614319836,0.0
PKDMainClassName_Freight rail transport,-0.000798077313380166,0.0
PKDMainClassName_Freight transport by road,0.016813195759036108,0.04611198684956393
PKDMainClassName_Fund management activities,-0.0029783762156258527,0.00011798833512602877
PKDMainClassName_General cleaning of buildings,-0.02198606498336038,0.018485425540372104
PKDMainClassName_General medical practice activities,0.05711940569009512,0.032916016813548436
PKDMainClassName_General secondary education ,0.0037174342487529917,0.0
PKDMainClassName_Hazardous waste processing and neutralizing,-0.002427470186465282,0.0
PKDMainClassName_Installation of industrial machinery and equipment and outfit,0.01103663227576254,0.001440412822415488
PKDMainClassName_Joinery installation,-0.007794394323649795,0.008011668713954147
PKDMainClassName_Landscape service activities,0.003101556477423181,0.003752307005661763
PKDMainClassName_Leasing of intellectual property and similar products,0.005271541299275385,0.0
PKDMainClassName_Library and archives activities,0.00018345715292016998,0.0
PKDMainClassName_Life insurance,-0.006878170502484528,0.0
PKDMainClassName_Maintenance and repair of motor vehicles,0.006666156734194399,0.012944739771005975
PKDMainClassName_Management of real estate on a fee or contract basis,0.017880286601682803,0.00048314068743047947
PKDMainClassName_Manufacture and processing of other glass,-0.0014832028637640068,0.0
PKDMainClassName_Manufacture of,0.00356639931971919,0.0
PKDMainClassName_Manufacture of abrasive products and others non-metallic mineral products not elsewhere classified,0.001693567569529313,0.0
PKDMainClassName_Manufacture of agricultural and forestry machinery,0.007085201004348223,0.0
PKDMainClassName_Manufacture of air and spacecraft and related machinery,-0.001535258924883482,0.0
PKDMainClassName_Manufacture of articles of fur,-0.00141009483414251,0.0
PKDMainClassName_Manufacture of assembled parquet floors,0.000889820247983386,0.0
PKDMainClassName_Manufacture of batteries and accumulators,-0.0004959169481794567,0.0
PKDMainClassName_Manufacture of bearings,0.0030041911535062344,0.0
PKDMainClassName_Manufacture of bicycles and invalid carriages,0.0022842971605982316,0.0
PKDMainClassName_Manufacture of bodies ,0.002803115138700653,0.0
PKDMainClassName_Manufacture of bread,0.0047984473135018755,0.002868209553539112
PKDMainClassName_Manufacture of bricks,-0.0008774117263767812,0.0030807602471548566
PKDMainClassName_Manufacture of brooms and brushes,-0.0042696326778592815,0.0
PKDMainClassName_Manufacture of builders,0.005615563031956372,0.0
PKDMainClassName_Manufacture of carpets and rugs,0.0002137360410994477,0.0
PKDMainClassName_Manufacture of cement,0.0004919905067506366,0.0
PKDMainClassName_Manufacture of central heating radiators and boilers,0.0022610855164397472,0.00352050542896661
PKDMainClassName_Manufacture of ceramic insulators and hollow insulators,0.0012601033322913204,0.0
PKDMainClassName_Manufacture of ceramic sanitary fixtures,-0.002232373564050356,0.0
PKDMainClassName_Manufacture of ceramic tableware and ornamental articles,-0.000997879009628017,0.0
PKDMainClassName_Manufacture of ceramic tiles and flags,0.0017948995467003185,0.0
PKDMainClassName_Manufacture of cocoa,0.005318612891207889,0.0
PKDMainClassName_Manufacture of cold forming products,-0.0001882723542899238,0.0
PKDMainClassName_Manufacture of computers and peripheral equipment,0.001892113939791448,9.54648501074105e-05
PKDMainClassName_Manufacture of concrete products for construction purposes,0.0018582202610627914,0.0014095878874763599
PKDMainClassName_Manufacture of condiments and seasonings,0.0012037570410287296,0.0
PKDMainClassName_Manufacture of consumer electronics,0.003865376394863777,0.00016765997223533802
PKDMainClassName_Manufacture of cordage,0.002682614270146297,0.0
PKDMainClassName_Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,0.007336206345838798,2.8983583557672254e-09
PKDMainClassName_Manufacture of cutlery,-0.002301149503766864,0.002910223669206344
PKDMainClassName_Manufacture of dyes and pigments,-0.0002551540226404573,0.0
PKDMainClassName_Manufacture of electric domestic appliances,-0.0002551540226404595,0.0
PKDMainClassName_Manufacture of electric lighting equipment,0.00019227188378090994,0.00403348855169214
PKDMainClassName_Manufacture of electric motors,-0.0035534067452593064,0.0
PKDMainClassName_Manufacture of electrical and electronic equipment for motor vehicles,0.0008308777440663419,0.0
PKDMainClassName_Manufacture of electricity distribution and control apparatus,0.010416784536956915,0.0
PKDMainClassName_Manufacture of electronic components,0.00290042296755838,0.0
PKDMainClassName_Manufacture of electronic printed circuits,0.007124999474605684,0.0
PKDMainClassName_Manufacture of engines and turbines,0.0003195215173045517,0.0
PKDMainClassName_Manufacture of fasteners and screws,0.0034092292079095144,0.0
PKDMainClassName_Manufacture of fertilisers and nitrogen compounds,0.0018977217400254374,0.0
PKDMainClassName_Manufacture of flat glass,0.0007583748859913775,0.0
PKDMainClassName_Manufacture of fluid power equipment,0.002695654261780594,0.000643206100695971
PKDMainClassName_Manufacture of footwear,-0.0018497842475644506,0.0
PKDMainClassName_Manufacture of fruit and vegetable juice,0.002826088281995554,0.0
PKDMainClassName_Manufacture of games and toys,0.0003983691341620966,4.2139254646406606e-05
PKDMainClassName_Manufacture of glues,1.5704268590913834e-05,0.0
PKDMainClassName_Manufacture of grain mill products,0.002157387764600356,6.895215208590179e-05
PKDMainClassName_Manufacture of hollow glass,-0.0036948598458880063,0.0
PKDMainClassName_Manufacture of homogenised food preparations and dietetic food,0.00016025878157414214,0.0002029180113036128
PKDMainClassName_Manufacture of household and sanitary goods and of toilet requisites,-0.0019164874724222276,0.0
PKDMainClassName_Manufacture of ice cream,-0.0009811002375794441,0.0007929257035433244
PKDMainClassName_Manufacture of imitation jewellery and related articles,-0.008394522660207192,0.0032454364485401577
PKDMainClassName_Manufacture of industrial cooling and ventilation equipment,-0.0005118652435486835,0.0017625173889955405
PKDMainClassName_Manufacture of industrial gases,0.002415966248835285,0.0
PKDMainClassName_Manufacture of installing equipment,-0.0003339781667354981,0.0
PKDMainClassName_Manufacture of instruments and appliances for measuring,0.0006594991331984759,0.0
PKDMainClassName_Manufacture of irradiation,-0.0028253267450142777,0.0
PKDMainClassName_Manufacture of jewellery and related articles,-0.0011376467870599886,0.0037132255071486626
PKDMainClassName_Manufacture of knitted and crocheted fabrics,0.0010002428249076421,0.0
PKDMainClassName_Manufacture of knitted and crocheted hosiery,-0.0009561060248304949,0.0
PKDMainClassName_Manufacture of leather clothes,-0.0013936767013636706,0.0
PKDMainClassName_Manufacture of lifting equipment and gripping devices,0.001181131796890842,0.0018918539492123057
PKDMainClassName_Manufacture of lime and plaster,0.0002708360232996388,0.0
PKDMainClassName_Manufacture of locks and hinges,0.005062310635773357,0.0
PKDMainClassName_Manufacture of macaroni,0.00013045127678842255,0.0
