timeline,whole_dataset,MainAddressVoivodeshipFromTERCVerbose_DOLNOŚLĄSKIE,MainAddressVoivodeshipFromTERCVerbose_MAZOWIECKIE,MainAddressVoivodeshipFromTERCVerbose_KUJAWSKO-POMORSKIE,MainAddressVoivodeshipFromTERCVerbose_nan,MainAddressVoivodeshipFromTERCVerbose_MAŁOPOLSKIE,MainAddressVoivodeshipFromTERCVerbose_ZACHODNIOPOMORSKIE,MainAddressVoivodeshipFromTERCVerbose_ŁÓDZKIE,MainAddressVoivodeshipFromTERCVerbose_LUBELSKIE,MainAddressVoivodeshipFromTERCVerbose_POMORSKIE,MainAddressVoivodeshipFromTERCVerbose_PODKARPACKIE,MainAddressVoivodeshipFromTERCVerbose_ŚLĄSKIE,MainAddressVoivodeshipFromTERCVerbose_WARMIŃSKO-MAZURSKIE,MainAddressVoivodeshipFromTERCVerbose_ŚWIĘTOKRZYSKIE,MainAddressVoivodeshipFromTERCVerbose_PODLASKIE,MainAddressVoivodeshipFromTERCVerbose_WIELKOPOLSKIE,MainAddressVoivodeshipFromTERCVerbose_LUBUSKIE,MainAddressVoivodeshipFromTERCVerbose_OPOLSKIE,IsPhoneNoEncoded_0,IsPhoneNoEncoded_1,IsEmailEncoded_1,IsEmailEncoded_0,IsWWWEncoded_0,IsWWWEncoded_1,HasLicencesEncoded_0,HasLicencesEncoded_1,HasPolishCitizenshipEncoded_1,HasPolishCitizenshipEncoded_0,ShareholderInOtherCompaniesEncoded_0,ShareholderInOtherCompaniesEncoded_1,SexEncoded_0,SexEncoded_1,CommunityPropertyEncoded_0,CommunityPropertyEncoded_3,CommunityPropertyEncoded_1,CommunityPropertyEncoded_2
27.0,0.7296481851818307,0.7515365907583459,0.7805244285073959,0.6868327402135234,0.22429459588713518,0.742873091184562,0.7197409006785939,0.732169604793179,0.7288215435345838,0.7335954183653659,0.7273351648351642,0.7524077184083349,0.6943543153796231,0.719676890066894,0.7270705220463166,0.7531028861472345,0.7059794337945906,0.7485040177808177,0.7261881658015724,1.0,0.7500789733464965,0.7185046789356375,0.7262214007393342,0.8714201358134036,0.7202877416693498,0.9721571200899963,0.738008044886644,0.578594206749934,0.724262035854451,0.9301984814173443,0.7532993999020713,0.6923546522067,0.7640197950676607,0.717819949206547,0.736492450638793,0.8147727272727273
28.0,0.7210078529471204,0.7413221313287647,0.7736889287315116,0.6766178990378284,0.22254104893990098,0.7339420278298312,0.7099321406539176,0.7225486807235848,0.7197142184187793,0.7239856338575036,0.7183207417582418,0.743770778352811,0.6858100800346099,0.7110942824687609,0.717257621352871,0.7451002185913828,0.6976006093690491,0.7394426397674818,0.7174372527778848,1.0,0.7417966436327743,0.709669082411726,0.7175078143956152,0.8658104517271917,0.7113826580643287,0.9703759257523197,0.7294998786648721,0.5675657719904329,0.7154039618058164,0.9296656453976296,0.744787574442888,0.683511688871332,0.7556417996262761,0.7091527297569317,0.727642276422765,0.8065340909090913
29.0,0.7122699685742758,0.7319478222418747,0.765307037203049,0.667655199683669,0.22062808863382727,0.7260077349387974,0.7013571869216527,0.7143104044244721,0.710606893302975,0.7139875752281108,0.7093921703296706,0.7345511875792572,0.6773739995673805,0.7012495266944332,0.7079680753630767,0.7359860694305518,0.6889678811730349,0.7296973841682345,0.7085875391232852,1.0,0.7326653504442258,0.7011457738819559,0.7086907497537934,0.8603483909064068,0.7023798754518581,0.9685009843442393,0.7208483163831838,0.5572681371246344,0.7064492932501915,0.9289996003729859,0.7359227502021205,0.6749739648795194,0.7472843384874427,0.7007097524471071,0.7169570267131253,0.8002840909090913
30.0,0.7030025154515614,0.7207605571523322,0.755939040788885,0.6553973902728355,0.21887454168659312,0.7178342171364774,0.6922270203578034,0.7056112455351992,0.7020491481510556,0.7049602019025438,0.6992616758241751,0.7250916818041603,0.667207441055592,0.6919096301905834,0.6997252387805833,0.7270571672038834,0.6786847784689591,0.7218327919302446,0.6992014791865876,1.0,0.7234254689042454,0.6918632824698752,0.6993848393588631,0.8526719811042219,0.6928307020940154,0.9665322958657543,0.7116893526587096,0.5460403933032151,0.6969508333959412,0.9283335553483428,0.726443024857947,0.6660412252666347,0.7387831372307433,0.6913802364450834,0.706898954703833,0.7934659090909095
31.0,0.6936967382745811,0.7112535927481755,0.7468175705961455,0.6455779623039413,0.21759923481587742,0.7089430246002951,0.6816779765576808,0.6959327111418364,0.6921567088011304,0.6955930887206372,0.6904189560439552,0.715186619597628,0.6575816569327273,0.680424081787201,0.6918749182258277,0.7180912155903827,0.6685286276501198,0.7120875363309975,0.689776604716318,1.0,0.7135538005923003,0.6828661576731322,0.6899968599688853,0.8467670504871567,0.683252580882113,0.964282366176056,0.7025083280019414,0.5344804677119318,0.6874022875010286,0.9280671373384843,0.7172536694792708,0.6565518727331482,0.7297275098051287,0.6824887748556768,0.695238095238096,0.7869318181818185
32.0,0.6839937845351997,0.7017024099049305,0.7368220528910805,0.6364175563463825,0.21680216802167995,0.6996531238786328,0.6705120296113511,0.6862541767484732,0.6820287351809676,0.6843816734614636,0.680717719780219,0.7052472838194467,0.6482803374432192,0.6705793260128732,0.6846787910506339,0.7075321403430771,0.6604037069950489,0.7008035561634471,0.6799494705344756,1.0,0.7030207305034555,0.6736159719156183,0.6802413542097824,0.839238263950398,0.6732149124870183,0.9632511484016129,0.6929632979623058,0.5219239968110547,0.6774852514498123,0.9263354202744116,0.7075177353420111,0.6469009229001325,0.7205486765642004,0.673211408188488,0.6827177700348441,0.7812499999999999
33.0,0.6734058935427456,0.6906920185717448,0.7262438368444647,0.6245551601423487,0.21584568786864322,0.6898847733343961,0.6598396051819865,0.6759419287936393,0.671900761560807,0.6728305183459529,0.6711881868131863,0.6933543544572772,0.6360588362535153,0.6604821406033061,0.6753892450608399,0.6968989663221075,0.647327662815792,0.6912292699606776,0.6692260734864969,1.0,0.6916288252714715,0.6634666121060067,0.6695581119849273,0.8325952170061998,0.6622762421343252,0.9617511952751466,0.6826056902498034,0.5071751262290723,0.6666666666666671,0.9243372852004798,0.6963584190209405,0.6372140625561101,0.7101172508675735,0.6629797086938152,0.6703832752613244,0.7704545454545455
34.0,0.662946910732826,0.6786203847004195,0.7156880322725244,0.6134835903519181,0.21457038099792747,0.6802759060643506,0.6479950647748296,0.665111187924876,0.6619298107874695,0.6620073772083095,0.6642342032967031,0.6815642458100555,0.6209171533636169,0.6527830367285116,0.6649221509878316,0.6869326812641255,0.6376793195378949,0.680971106171995,0.6586332344150821,1.0,0.680848963474828,0.6531826454023678,0.6590425759673435,0.824475937407735,0.6514569816796262,0.9606262304302988,0.6723841249531208,0.4924262556470897,0.6560090727285085,0.9212734780871191,0.6857741491021311,0.6269526340359821,0.7006509373909116,0.6524351131901309,0.6590243902439028,0.7619318181818182
35.0,0.6522719196170378,0.6664603139509172,0.7047960555804579,0.6026097271648879,0.2132950741272116,0.6703879430644704,0.6357186921653294,0.6543380573798816,0.6521158828609551,0.6500679479712682,0.6539320054945054,0.6706652500257043,0.6094527363184077,0.6436955698599016,0.6556326049980369,0.6767440998851476,0.6257458423257575,0.6691742178150114,0.6478216225180753,1.0,0.6696742349457064,0.642780224631985,0.6482736965302659,0.8176852671981107,0.6404748895458442,0.9579075653885817,0.6620890232154542,0.47488705819824645,0.6451082037357035,0.9190089250033313,0.6750703150798806,0.6163231227780367,0.6925193535801549,0.6410874179299836,0.6479907084785139,0.7571022727272727
36.0,0.6407677353271132,0.6547866460313956,0.692626624831915,0.591208646368789,0.21201976725649596,0.6593437263267007,0.6217149907464524,0.643104044244728,0.6396325665384307,0.6382741215298001,0.6427712912087914,0.6583610378037495,0.5989617131732641,0.6329673103622357,0.6449038335732034,0.6657404319958509,0.6135584613431504,0.657719268250983,0.6361702052583107,1.0,0.6584402764067125,0.6311286518850353,0.6366841271427138,0.8097136108650729,0.62862436179028,0.9553763944876718,0.6510328193136113,0.45528833377624245,0.6333558720516317,0.9167443719195424,0.6636206287933138,0.6047330053506652,0.6832173145239117,0.6285976522369455,0.6379790940766558,0.7505681818181819
